TimeSeries ID,projects/15186398363/locations/us-central1/tensorboards/2765487248135684096/experiments/tuning-experiment-20250817130249451596/runs/tuning-experiment-run-20250817130249451596/timeSeries/6779710784533430272
153,0.6263256669044495
152,0.6184303760528564
151,0.6318531632423401
150,0.6523258686065674
149,0.6392284035682678
148,0.6536611318588257
147,0.6656492948532104
146,0.6567632555961609
145,0.6608348488807678
144,0.6731775999069214
143,0.6641737818717957
142,0.6806200742721558
141,0.7003976106643677
140,0.7319962382316589
139,0.68511563539505
138,0.698101282119751
137,0.7134794592857361
136,0.7399439215660095
135,0.7512741684913635
134,0.7443834543228149
133,0.7202797532081604
132,0.7739577293395996
131,0.7671213150024414
130,0.7165750861167908
129,0.7668235898017883
128,0.7710690498352051
127,0.7620789408683777
126,0.8298368453979492
125,0.7975910305976868
124,0.7993298768997192
123,0.8118126392364502
122,0.7896355390548706
121,0.8718460202217102
120,0.8152594566345215
119,0.7714768648147583
118,0.8854538798332214
117,0.8576635122299194
116,0.878048837184906
115,0.8784351348876953
114,0.8888982534408569
113,0.8445078134536743
112,0.9487934708595276
111,0.8750213384628296
110,0.879557192325592
109,0.8907021880149841
108,0.9684213399887085
107,0.9173199534416199
106,0.918739378452301
105,0.8844928741455078
104,0.9321175217628479
103,0.908933699131012
102,0.9643613696098328
101,0.9707622528076172
100,0.9464243054389954
99,0.9731488227844238
98,0.9832621216773987
97,0.9820181131362915
96,0.969634473323822
95,0.9554083943367004
94,1.0356833934783936
93,1.0179882049560547
92,1.0739531517028809
91,1.0260393619537354
90,0.980297863483429
89,0.9837425947189331
88,1.0460283756256104
87,1.117833137512207
86,1.0422255992889404
85,0.9642105102539062
84,1.0919289588928223
83,1.1006397008895874
82,1.065435767173767
81,1.0422252416610718
80,1.0276241302490234
79,1.1226520538330078
78,1.1183264255523682
77,1.0861985683441162
76,1.1363390684127808
75,1.0990768671035767
74,1.1194961071014404
73,1.1106603145599365
72,1.1426544189453125
71,1.0880070924758911
70,1.1790592670440674
69,1.1666409969329834
68,1.1062413454055786
67,1.1342277526855469
66,1.1435637474060059
65,1.1982674598693848
64,1.1554781198501587
63,1.152915120124817
62,1.1696096658706665
61,1.1575660705566406
60,1.2744910717010498
59,1.184665322303772
58,1.1190950870513916
57,1.2296456098556519
56,1.131040334701538
55,1.193337321281433
54,1.2497881650924683
53,1.2215927839279175
52,1.227942943572998
51,1.1602482795715332
50,1.2097017765045166
49,1.2865206003189087
48,1.1752917766571045
47,1.2075291872024536
46,1.257855772972107
45,1.2971575260162354
44,1.2495288848876953
43,1.2861398458480835
42,1.2532566785812378
41,1.2143038511276245
40,1.222578525543213
39,1.2026846408843994
38,1.3592500686645508
37,1.2838222980499268
36,1.317838430404663
35,1.2988157272338867
34,1.257218599319458
33,1.24299955368042
32,1.2827460765838623
31,1.356298804283142
30,1.2993448972702026
29,1.3474788665771484
28,1.4279860258102417
27,1.2786519527435303
26,1.2868804931640625
25,1.5155826807022095
24,1.3574572801589966
23,1.3949652910232544
22,1.4757628440856934
21,1.3825609683990479
20,1.4982656240463257
19,1.5152183771133423
18,1.5327467918395996
17,1.5459799766540527
16,1.5430386066436768
15,1.642720103263855
14,1.7883539199829102
13,1.8084622621536255
12,1.8656744956970215
11,1.9823193550109863
10,2.3344874382019043
9,2.420433521270752
8,2.516225814819336
7,2.669203281402588
6,2.8637397289276123
5,2.823446273803711
4,2.8432650566101074
3,3.060110092163086
2,2.889220714569092
1,2.8080596923828125
